"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"Acreage Holdings","Canada/Acreage Holdings","$0","$0","$0"
"Air Liquide America","France/L'Air Liquide SA","$10000","$0","$10000"
"Airbus Group","Netherlands/Airbus Group","$140500","$37500","$103000"
"Alexion Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$75500","$44000","$31500"
"Alkermes Inc","Ireland/Alkermes Plc","$35500","$10500","$25000"
"Allianz of America (Allianz)","Germany/Allianz AG Holding","$24000","$13000","$11000"
"Anheuser-Busch (Anheuser-Busch InBev)","Belgium/Anheuser-Busch InBev","$115000","$52500","$62500"
"AON Corp (AON plc)","UK/AON PLC","$34000","$13000","$21000"
"APL Maritime (CMA CGM)","France/CMA CGM SA","$2000","$2000","$0"
"Arcadis US (Arcadis NV)","Netherlands/Arcadis NV","$0","$0","$0"
"Arcadis US (Arcadis NV)","Netherlands/Arcadis NV","$0","$0","$0"
"ArcelorMittal","Luxembourg/ArcelorMittal","$6000","$2000","$4000"
"Arch Capital Group (US)","UK/Arch Capital Group","$5500","$0","$5500"
"Arkema Inc","France/Arkema","$16000","$10500","$5500"
"Ashta Chemicals","UK/INEOS Group","$315","$0","$315"
"Ashton Woods Homes","Canada/Great Gulf Group","$4500","$0","$4500"
"Assured Guaranty Municipal Corp (Assured Guaranty Corp)","UK/Assured Guaranty Ltd","$60000","$32500","$27500"
"Astellas US","Japan/Astellas Pharma","$111000","$61000","$47500"
"AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$177500","$81500","$96000"
"Atkins North America","Canada/SNC-Lavalin","$1500","$0","$1500"
"Austal USA","Australia/Austal Ltd","$24400","$0","$24400"
"Avangrid Inc (Iberdrola SA)","Spain/Iberdrola SA","$145500","$67500","$78000"
"Bacardi USA","UK/Bacardi Ltd","$19750","$11500","$8250"
"BAE Systems (BAE Systems)","UK/BAE Systems","$365000","$133000","$227000"
"Barclays Group US","UK/Barclays plc","$59500","$21000","$38500"
"BASF Corp","Germany/BASF SE","$231500","$97500","$134000"
"Bayer Corp (Bayer AG)","Germany/Bayer AG","$128091","$51500","$76591"
"Beam Suntory (Suntory Holdings)","Japan/Suntory Holdings","$28255","$15000","$13255"
"BMO Financial Corp (Bank of Montreal)","Canada/Bank of Montreal","$0","$0","$0"
"BMO Financial Corp (Bank of Montreal)","Canada/Bank of Montreal","$98500","$56000","$42500"
"Boehringer Ingelheim Corp","Germany/CH Boehringer Sohn","$100100","$44600","$55500"
"Bombardier Aerospace (Bombardier Inc)","Canada/Bombardier Inc","$25500","$5000","$20500"
"BP North America","UK/BP PLC","$21500","$4500","$17000"
"Bridgestone Americas","Japan/Bridgestone Corp","$12000","$4000","$7000"
"CAE USA","Canada/CAE Inc","$15500","$6000","$9500"
"CalPortland Co","Japan/Taiheiyo Cement Co","$85500","$3500","$82000"
"Canopy Growth USA","Canada/Canopy Growth Corp","$32500","$7500","$25000"
"Carmeuse Lime","Netherlands/Carmeuse SA","$1000","$0","$1000"
"Case New Holland","Netherlands/CNH Industrial","$55000","$0","$55000"
"CEMEX Inc","Mexico/CEMEX SAB de CV","$31000","$11000","$20000"
"CGI Technologies & Solutions","Canada/CGI Group","$42000","$23500","$18500"
"Chubb Group of Insurance Companies","Switzerland/Chubb Ltd","$80000","$40000","$40000"
"CIBC Bancorp","Canada/Canadian Imperial Bank of Commerce","$3500","$2000","$1500"
"Continental Automotive Systems (Continental AG)","Germany/Continental AG","$12000","$6000","$6000"
"Covestro LLC (Covestro AG)","Germany/Covestro AG","$13000","$5500","$7500"
"Credit Suisse Securities (UBS AG)","Switzerland/UBS AG","$0","$0","$0"
"CRH Americas (CRH PLC)","Ireland/CRH PLC","$371100","$155000","$213600"
"Cronos USA","Canada/Cronos Group","$11000","$3000","$8000"
"CSL Behring","Australia/CSL Ltd","$16000","$6000","$10000"
"Cumberland Farms (EG Group)","UK/EG Group","$0","$0","$0"
"Delhaize America","Belgium/Ahold Delhaize","-$4500","-$1000","-$3500"
"Deutsche Bank Securities","Germany/Deutsche Bank AG","$0","$0","$0"
"Diageo North America (Diageo PLC)","UK/Diageo PLC","$18928","$13628","$5300"
"Eaton Corp (Eaton Corp)","Ireland/Eaton Plc","$11000","$4500","$6500"
"EDF Renewables (EDF Group)","France/EDF Group","$19500","$16500","$3000"
"EDP Renewables NA","Portugal/EDP - Energias de Portugal","$5500","$5000","$500"
"EG America (EG Group)","UK/EG Group","$0","$0","$0"
"Eisai Inc","Japan/Eisai Co Ltd","$19100","$7400","$11700"
"Elbit Systems of America","Israel/Elbit Systems Ltd","$57000","$10500","$46500"
"Electrolux Home Products","Sweden/AB Electrolux","$2500","$0","$2500"
"Elekta Inc (Elekta AB)","Sweden/Elekta AB","$18500","$9500","$9000"
"Embraer Aircraft Holdings","Brazil/Embraer-Empresa Brasileira de Aeronautic","$2000","$1000","$1000"
"EMD Serono Inc","Germany/Merck KGaA","$65500","$32500","$33000"
"Empire District Electric (Algonquin Power & Utilities)","Canada/Algonquin Power & Utilities","$0","$0","$0"
"Empower Retirement (Power Financial Corp)","Canada/Power Financial Corp","$7500","$0","$7500"
"Enbridge Inc","Canada/Enbridge Inc","$42100","$12400","$29700"
"Endo Pharmaceuticals","Ireland/Endo International","$0","$0","$0"
"ENGIE North America","France/ENGIE","$11000","$3500","$7500"
"Ericsson Inc","Sweden/Telefonaktiebolaget LM Ericsson","$51500","$22000","$29500"
"Essent US Holdings","UK/Essent Group","$6000","$4000","$2000"
"Exp Global","Canada/Exp Global","$0","$0","$0"
"Experian","UK/Experian","$225500","$92500","$133000"
"Farmers Group (Zurich Insurance Group)","Switzerland/Zurich Insurance Group","$45000","$15000","$30000"
"FGS Global (WPP plc)","UK/WPP plc","$72250","$26750","$44500"
"Fincantieri Marinette Marine","Italy/Fincantieri-Cantieri Navali Italiani SpA","$13500","$10000","$3500"
"Florida East Coast Industries (SoftBank Corp)","Japan/SoftBank Corp","$14500","$4500","$10000"
"Florida East Coast Railway (Grupo Mexico)","Mexico/Grupo Mexico","$575","$0","$575"
"Framatome (EDF Group)","France/EDF Group","$16500","$4500","$12000"
"Fresenius Medical Care North America","Germany/Fresenius Medical Care","$112500","$41000","$71500"
"Garmin International (Garmin Ltd)","Switzerland/Garmin Ltd","$70145","$27000","$40645"
"GE Appliances","China/Haier Group","$2000","$2000","$0"
"Genentech Inc (Roche Holdings)","Switzerland/Roche Holdings","$135650","$68500","$67150"
"General Cigar Co","Sweden/Scandinavian Tobacco Group","$0","$0","$0"
"Genesee & Wyoming (Brookfield Asset Management)","Canada/Brookfield Asset Management","$33190","$7000","$26190"
"Gerdau Ameristeel Corp","Brazil/Gerdau Inc","$7000","$3000","$4000"
"Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$0","$0","$0"
"Greyhound Lines (FlixBus Inc)","Germany/Flixbus Inc","$2000","$1000","$1000"
"GSK plc","UK/GlaxoSmithKline","$99500","$40000","$57000"
"Haleon plc","UK/Haleon plc","$33500","$8500","$25000"
"Hannover Life Reassurance Co","Germany/Hannover Re","$5000","$2500","$2500"
"Headwaters Inc","Australia/Boral Ltd","$6000","$0","$6000"
"Heidelberg Materials US","Germany/Heidelberg Materials","$33500","$6500","$27000"
"Heineken USA","Netherlands/L'Arche Green NV","$11000","$4000","$7000"
"Herbalife International of America","UK/Herbalife Nutrition","$21500","$5000","$16500"
"Holcim US (Holcim Group)","Switzerland/Holcim Group","$10500","$4500","$6000"
