country,dems_sum,repubs_sum,total_sum,year_cycle
Australia,12370,34800,47170,2000
Belgium,5416.666666666667,6416.666666666667,11833.333333333334,2000
Bermuda,23000,52984,75984,2000
Canada,8361.25,17178.125,25539.375,2000
Denmark,7500,29500,37000,2000
France,18452.941176470587,26026.235294117647,44479.17647058824,2000
Germany,27014.285714285714,60528.57142857143,87721.42857142857,2000
Ireland,18340,35258.2,53598.2,2000
Italy,2875,16125,19000,2000
Japan,8678.57142857143,6064.285714285715,14742.857142857143,2000
Mexico,1000,15573.5,16573.5,2000
Netherlands,9626.153846153846,27375.46153846154,37040.07692307692,2000
Singapore,5450,14750,20200,2000
South Korea,0,0,0,2000
Sweden,4000,20625,25125,2000
Switzerland,21517.058823529413,42098,63744.470588235294,2000
UK,20711.41304347826,43576.82608695652,64375.19565217391,2000
Australia,17504.75,10708.25,28213,2002
Belgium,6200,17350,23550,2002
Bermuda,94242,126705,220947,2002
Canada,10275,13211.111111111111,23486.11111111111,2002
Denmark,6916.666666666667,17666.666666666668,24583.333333333332,2002
France,15852.35294117647,22730.41176470588,38582.76470588235,2002
Germany,27628.764705882353,53461.705882352944,81090.4705882353,2002
Ireland,10017.142857142857,37089.71428571428,47106.857142857145,2002
Italy,2500,14700,17200,2002
Japan,13766,14267.75,28033.75,2002
Luxembourg,3000,2500,5500,2002
Mexico,0,2000,2000,2002
Netherlands,17830.909090909092,33886.63636363636,51717.545454545456,2002
Panama,8183.333333333333,21700,29883.333333333332,2002
Singapore,5250,10110,15360,2002
Sweden,3250,16997.5,20247.5,2002
Switzerland,26764.473684210527,38021.68421052631,64838.78947368421,2002
UK,24408.74358974359,48104.282051282054,72538.66666666667,2002
Australia,66484.5,54749,121852.5,2004
Belgium,5450,23125,28575,2004
Bermuda,27062,72973.5,100035.5,2004
Canada,7615.384615384615,13463.461538461539,21078.846153846152,2004
Denmark,16875,32587.5,49462.5,2004
France,11654.0625,24920.3125,36574.375,2004
Germany,31401.1875,67297.3125,98698.5,2004
Ireland,32675,105101.75,139026.75,2004
Italy,2100,12293,14393,2004
Japan,18985.714285714286,33178.57142857143,52164.28571428572,2004
Luxembourg,8000,6500,14500,2004
Malaysia,0,0,0,2004
Mexico,0,0,0,2004
Netherlands,19162.909090909092,31973.636363636364,51136.545454545456,2004
Panama,9666.666666666666,30333,39999.666666666664,2004
Singapore,6500,6250,12750,2004
Sweden,833.3333333333334,14404,15237.333333333334,2004
Switzerland,34845.5,64432,99638.61111111111,2004
