country,dems_sum,repubs_sum,total_sum,year_cycle
Australia,61850,174000,235850,2000
Australia,70019,42333,112352,2002
Australia,137969,113498,252705,2004
Australia,21088,8500,29588,2006
Australia,25158,13750,38908,2008
Australia,32376,17000,49376,2010
Australia,53353,24500,77853,2012
Australia,31655,44100,75755,2014
Australia,39285,92200,131485,2016
Australia,35601,116506,152107,2018
Australia,35200,114600,149800,2020
Australia,48200,84600,132800,2022
Australia,6000,40400,46400,2024
Belgium,16250,19250,35500,2000
Belgium,31000,86750,117750,2002
Belgium,10900,46250,57150,2004
Belgium,15500,64750,80250,2006
Belgium,929223,808424,1737647,2008
Belgium,458500,409000,868500,2010
Belgium,369381,448500,818881,2012
Belgium,261431,334667,598598,2014
Belgium,261500,404674,666174,2016
Belgium,262250,316900,581650,2018
Belgium,212000,230500,442500,2020
Belgium,307000,315000,622000,2022
Belgium,73500,87000,163000,2024
Brazil,25000,53500,78500,2008
Brazil,60500,107550,169050,2010
Brazil,23500,102000,125500,2012
Brazil,17000,148000,165000,2014
Brazil,27500,105200,132700,2016
Brazil,14500,77500,92000,2018
Brazil,31500,145500,177000,2020
Brazil,31500,62000,93500,2022
Brazil,20500,40000,60500,2024
Canada,78390,146425,224815,2000
Canada,93475,120900,214375,2002
Canada,99000,183025,282025,2004
Canada,116537,143975,264512,2006
Canada,257450,182600,440050,2008
Canada,357866,324434,699700,2010
Canada,357058,479624,839182,2012
Canada,271900,450723,723623,2014
Canada,470500,831480,1301980,2016
Canada,703156,1060454,1785810,2018
Canada,909874,995769,1908143,2020
Canada,792014,931402,1724416,2022
Canada,341900,543180,898580,2024
China,36500,68700,105200,2014
China,35650,58000,93650,2016
China,74000,142700,216700,2018
China,95000,181000,276000,2020
China,80000,191000,271000,2022
China,41000,183000,224000,2024
Denmark,32000,78850,111100,2000
Denmark,20750,53000,73750,2002
Denmark,33750,65175,98925,2004
Denmark,18500,80100,98600,2006
Denmark,146044,136250,282294,2008
Denmark,183318,122250,307568,2010
